key,nom,editeur,installs,avis,note,derniere_version_dc,cloud_meme_editeur,nb_alternatives,exemples
proficient.developer.plugins.confluence.inline-comments-in-editor,Show Inline Comments in Editor,Actonic Labs,115,16,5.0,2026-02-17,,4,Comments Manager (12); Smart Comments for Jira (22); Comment Security Default (15); My ToDo Checklist - Fast Inline ToDo Lis (47)
confluence.extra.cipe,InPlace Editor for Confluence,Stiltsoft Europe OÜ,146,24,4.53,2025-10-15,,5,Source Editor for Confluence (25); Customfield Editor for Jira (29); Sketch Image Editor for Confluence (20); Spreadsheet Issue Field Editor (10)
com.lb.software.stash.smart.commit.lb-software-stash-smart-commit,Smart Commits for Bitbucket,DevOpsSystems GmbH,105,24,4.95,2026-03-11,,13,"Smart Checklists for Jira (132); Better Commit Policy for Jira (Git, Bitb (22); Smart Configuration: Documentation for J (46); Smart Comments for Jira (22)"
com.stiltsoft.confluence.smart-attachment-for-confluence,Smart Attachments for Confluence,Stiltsoft Europe OÜ,197,5,5.0,2026-09-24,Smart Attachments for Jira (File & Document Management),12,Smart Checklists for Jira (132); Bulk Attachment Download (12); Cenote Lockpoint - Attachment Checkout (29); Smart Configuration: Documentation for J (46)
com.capitalcityconsultants.jira.plugins.customfields.ccc-lastcomment,CCC Last Comment,Capital City Consultants,167,31,4.19,2026-03-22,,3,Comments Manager (12); Smart Comments for Jira (22); Comment Security Default (15)
com.nolddor.announcement-banner-for-bitbucket,Announcement Banner for Bitbucket,Sweet Bananas,154,7,5.0,2025-10-05,,3,Announcer for Jira (12); Feature Bundle – Self-Service Extension  (51); Message field (12)
com.shdsd.plugin.DSFineTimesheet,TimeWise-Timesheets with Plan and WorkLog for Jira,DragonSoft,123,11,5.0,2026-04-24,,11,Gantt Charts for Structure PPM - Jira Ro (61); Activity Timeline: Resource Capacity Pla (121); Time Squad | Roadmaps and Timelines for  (11); Hierarchy for Jira (Custom issue structu (15)
com.comalatech.checklists,Comala Lists,Appfire,215,8,4.38,2026-05-08,,5,Comala Document Management (175); Comala Publishing (40); Comala Document Control (24); Comala Canvas for Jira (25)
de.codescape.jira.plugins.scrum-poker,Scrum Poker for Jira,codescape - Stefan Glase,138,10,4.88,2025-12-12,,9,Planning Poker ® (134); Async Poker: Planning Poker & Estimation (45); SprintPoker – Planning Poker & Async Est (22); Scrumpy Planning Poker for Jira (22)
helpdesk.helpdesk-for-jira,HelpDesk for Jira (Customer Portal & SLA & OLA),Teamlead,114,17,4.85,2026-07-30,,6,"SAML/OAuth SSO for JSM Customers (19); AI for Confluence Cloud (44); Microsoft Teams for Jira & JSM (30); Page Tree Creator Pro (Blueprint, Templa (22)"
net.brokenbuild.subcomponents,Subcomponents for Jira,Broken Build,240,24,3.54,2026-07-14,Subcomponents: Component Hierarchy/Release Packages for Jira,2,"Octo - Component version, Subcomponents  (16); Software Configuration Management Toolki (22)"
net.seibertmedia.extranet.core,Space Privacy - Extranet for Confluence,Seibert,134,15,4.67,2026-09-21,,6,SubSpace Navigation for Confluence (63); Space Templates & Content Templates for  (16); Secure Fields - Data Security & Privacy  (30); Space Sync for Confluence (Copy & Publis (11)
com.reliex.plugins.email-notifications-digest,Email Digest: Management of Jira Emails Notifications,Reliex,86,54,4.84,2026-09-07,,5,Email This Issue (181); Notification Assistant for Jira - Email (57); mailto.wiki - Email for Confluence (11); Simple Reminder – Email Notifications (12)
net.seibertmedia.plugin.confluence.event-manager,Linchpin Events,Seibert,115,17,4.78,2026-09-14,,5,MANTRA Intranet | News Events Theme Mobi (100); Company Calendar for Jira (38); Calendar for Jira (59); Cosmos - Intranet for Confluence Cloud (78)
com.intenso.jira.plugins.password-policy,Advanced Password Policy for Jira,Deviniti,119,12,4.9,2026-03-11,,9,"Password for Confluence (17); Better Commit Policy for Jira (Git, Bitb (22); Advanced Portal Reports for Jira Service (48); Advanced Panelboxes for Confluence (12)"
com.izymes.organizr,Global Pull Request Organizr,Izymes Pty Ltd,166,10,4.5,2026-06-18,,2,Workzone: PullRequest Workflow (23); My Requests Extension for Jira Service M (34)
com.moveworkforward.bamboo.microsoft-teams-notifier,Microsoft Teams Connector for Bamboo,Move Work Forward,193,10,4.25,2026-01-14,Advanced Microsoft Teams Connector for Confluence,5,Microsoft 365 for Jira & JSM (Teams & Ou (195); Microsoft Teams for Jira & JSM (30); Power BI Connector for Jira (159); Connector for Salesforce & Jira (236)
jira.plugin.projectspecificselectfield.jpssf,Project Specific Select Field,Holger Schimanski,138,7,5.0,2025-10-18,,6,"Deep Clone for Jira (Copy Projects, Bulk (134); Projectrak (Project Portfolio Management (128); Delegated Project Creator for Jira (33); Elements Copy & Sync (clone issues, proj (57)"
com.tse.confluence.deactivateusers.plugin.confluence-deactivate-users-plugin,Manage Inactive Users for Confluence,ILA eSolution,156,7,4.82,2026-07-13,Manage Inactive Users for Confluence Cloud,5,User Management for Jira (bulk & timed i (25); Flexible User License - Auto User Manage (22); My User Manager for Jira (11); Flexible User License - Auto User Manage (17)
com.elitesoftsp.confluence.page.utility.plugins,Page Assistant,EliteSoft,106,12,5.0,2026-03-08,,8,Out Of Office Assistant (20); Copy Page Tree (67); Notification Assistant for Jira - Email (57); AutoPage (Creates pages in Confluence wi (15)
com.eis.jira.plugins.gadget.gadgetUtilitiesForJIRA.gadgetUtilitiesForJIRA,Gadget Utilities for Jira,Eisonesoft,126,11,4.77,2026-05-29,Gadget Utilities for Jira Cloud,7,"Countdown Gadget (11); Column Order Gadget (39); Universal Gadget for Jira (12); Great Gadgets: Agile Dashboard Charts, M (49)"
com.tse.jira.projectproperties.plugin.jira-project-properties-plugin,Project Properties for Jira,ILA eSolution,179,12,4.17,2026-01-12,Project Properties for Jira Cloud,6,"Properties - Templates, Metadata & Datab (17); Deep Clone for Jira (Copy Projects, Bulk (134); Projectrak (Project Portfolio Management (128); Delegated Project Creator for Jira (33)"
com.smateso.plugins.confluence.last-login,Last Login Monitoring for Confluence,EB Cloud Engineering,201,6,4.38,2026-01-16,,0,
com.accxia.sd.plugins.tailor.tailorman-sd-confirm,Doublecheck for Jira Service Management,Accxia-US,112,10,4.88,2026-01-29,,9,Extension for Jira Service Management (150); Chat for Jira Service Management (57); Actions for Jira Service Management (36); Advanced Portal Reports for Jira Service (48)
com.intenso.jira.plugins.condval.intenso-conditions-validator,Help (a.k.a. Conditions Validator),Deviniti,95,11,5.0,2026-08-18,,3,"Scroll Sites for Confluence (Help Center (111); Refined Sites for JSM (Theme ITSM, HR, H (55); ActionableAgile® Analytics: Kanban/ Agil (32)"
com.simplenia.stash.plugins.pages,Pages for Bitbucket Server,Appfire,136,8,4.69,2026-04-02,,7,"Copy Page Tree (67); AutoPage (Creates pages in Confluence wi (15); KARMA Page Builder for Confluence (Conte (164); Page Tree Creator Pro (Blueprint, Templa (22)"
com.shdsd.plugin.weChat-jira,WeCom (WeChat Work) for Jira,DragonSoft,105,8,5.0,2025-12-26,,4,ActionableAgile® Analytics: Kanban/ Agil (32); Optimizer for Jira (Health Checks & Clea (33); Date Reminder for Confluence (12); Personal Checklist For Jira Cloud (Free) (14)
ch.mibex.stash.cra,Code Review Assistant for Bitbucket,Elevatic,153,14,4.11,2026-09-18,,9,"Out Of Office Assistant (20); Sprint Review for Jira (21); Notification Assistant for Jira - Email (57); Just Add+ Embed Markdown, Diagrams, & Co (50)"
com.allenta.jira.plugins.gitlab.gitlab-listener,GitLab Connector for Jira,votazz,164,11,4.09,2026-06-29,,13,GitLab Integration for Jira Two-Way Sync (24); Power BI Connector for Jira (159); Connector for Salesforce & Jira (236); Slack Integration+ for Jira (77)
com.miniorange.sso.saml.bitbucket-sso,Single Sign-On SAML SSO for Bitbucket SSO SAML+User Sync,miniOrange,74,16,5.0,2026-09-16,Single Sign On SAML SSO for Jira (SSO SAML) + User Sync/SCIM,3,eSign Signatures for Jira (10); Approvals for Confluence (Page Review &  (21); Group Sign-Off: parallel Multi-Approvals (41)
com.langhornweb.confluence.app.confluenceuserexport,User Export for Confluence,Aety admin apps,318,2,3.75,2026-01-22,User/Group Export & License Optimizer for Jira,10,Scroll PDF Exporter for Confluence (228); Scroll Word Exporter for Confluence (136); Markdown Exporter for Confluence (22); Better Excel Exporter for Jira (254)
org.swift.confluence.script,Scripting for Confluence,Appfire,143,4,5.0,2026-07-06,,4,ScriptRunner for Jira (826); ScriptRunner for Confluence (57); Power Scripts - Jira Workflow Automation (302); JavaScript Charts for Jira Cloud (32)
ch.mibex.stash.rss4stash,Activity Streams for Bitbucket,Elevatic,145,9,4.31,2025-10-21,,2,Filters Activity Stream (22); Activity Timeline: Resource Capacity Pla (121)
com.dortiz.jira.plugin.shared.SharedManager,Filter & Dashboard Manager for Jira,votazz,89,13,4.81,2026-05-21,,15,"Rich Filters for Jira Dashboards (185); Quick Filters for Jira Dashboards (Chart (22); Multiple Filters Chart Gadgets (for Dash (33); Table Filter, Charts & Spreadsheets for  (442)"
org.swift.jira.cw,Update on Transition for Jira,Appfire,129,7,4.64,2026-08-21,,6,STM Issue Templates (auto & manual creat (21); Create on Transition for Jira (49); Undo Transition (16); Slack for Confluence (Chat Notifications (11)
com.jsoft.jira.plugins.jira-slack,Slack Connector for Jira by Jsoft,J Soft,138,30,3.75,2026-04-15,Slack Connector for Confluence Cloud,13,Slack Integration+ for Jira (77); Slack Integration for Jira (17); Power BI Connector for Jira (159); Connector for Salesforce & Jira (236)
ru.andreymarkelov.atlas.plugins.prom-bitbucket-exporter,Prometheus Exporter PRO for Bitbucket,Appfire,135,4,5.0,2026-08-11,,9,Scroll PDF Exporter for Confluence (228); Scroll Word Exporter for Confluence (136); Markdown Exporter for Confluence (22); Better Excel Exporter for Jira (254)
com.rauliki.kanbancombinedWIP.KanbanCombinedWIP,Kanban Combined WIP for Jira,Sngular,120,16,4.22,2025-10-09,Kanban Combined WIP for Jira Cloud,6,"Advanced Kanban & Agile Boards: SAFe & W (17); ActionableAgile® Analytics: Kanban/ Agil (32); Kanban Analytics: Improve Your Delivery  (33); Portfolio Roadmaps, Kanban & Timeline St (30)"
net.veniture.confluence.email-this-page,Email this Page,DC Factory,127,11,4.32,2026-05-28,,11,Email This Issue (181); Notification Assistant for Jira - Email (57); mailto.wiki - Email for Confluence (11); Copy Page Tree (67)
ch.bitvoodoo.confluence.plugins.blogpost-templates,Templates for Blog Posts for Confluence,Elevatic,106,6,5.0,2025-09-02,,15,Scroll Sites for Confluence (Help Center (111); Templating.app🚀Project Templates & Issue (76); Issue Templates Pro - Description Templa (54); Lively Blogs - Dynamic News and Feeds fo (15)
net.getunik.confluence.skin.core,Enterprise Theme for Confluence,Elevatic,143,16,3.91,2026-06-19,,12,BPMN Modeler Enterprise (25); Checklists for Jira (Enterprise) by Hero (143); Theme Extension for Jira Service Managem (26); Xray Enterprise - Test Management for Ji (13)
com.prontop.service-desk-landingpage,Ultimate Customizer for Jira Service Management,aety aps,160,11,3.86,2026-06-30,,14,Extension for Jira Service Management (150); Awesome Custom Fields – Custom Fields fo (27); Actions for Jira Service Management (36); Advanced Portal Reports for Jira Service (48)
com.plugenta.jiraauditor,Auditor for Jira,"Enhancera, LLC",160,8,4.06,2026-03-26,,3,Revyz Command Center for Jira (Backup Co (19); AURA Workflow & Approval for Confluence  (33); Issue History for Jira (Work Item Histor (95)
no.kantega.kerberosauth.kerberosauth-plugin.stash,K-SSO SAML SSO OAuth Kerberos User Management for Bitbucket,Kantega SSO,91,7,5.0,2026-09-18,,18,Backbone Work Sync for Jira (Two Way Iss (72); Jira Misc Workflow Extensions (JMWE) (534); Timesheets by Tempo - Jira Time Tracking (898); Checklists for Jira (Pro) by HeroCoders (264)
net.veniture.confluence.doublicate_pagetitles,Duplicate Page Titles (Same Page Titles),DC Factory,147,3,5.0,2026-02-02,,8,"Find Duplicates: Detect Similar Issues,  (48); Duplicate: Bulk Clone Issues & Epics in  (10); Copy Page Tree (67); AutoPage (Creates pages in Confluence wi (15)"
com.shineatlas.confluence.headingpro.easy-heading-pro,Easy Heading Navigation (Floating Table of Contents),Shinetech Software,179,2,5.0,2026-05-16,Easy Heading Macro (Floating Table of Contents),8,Easy Numbered Headings (12); Numbered Headings (114); Navigation Menus for Confluence (quick & (17); Navitabs - Navigation Macros for Conflue (45)
com.porzelt.confluence.darktheme.DarkThemeForConfluence,DarkTheme for Confluence,Maximilian Porzelt,160,5,4.25,2026-04-11,,0,
com.pitronote.jira.select2,select2,Pitronote,92,13,4.52,2026-03-20,,4,Awesome Custom Fields – Custom Fields fo (27); Visibility for Confluence (33); Fields - Custom Fields for Jira (48); Document Vault - Secure Attachments in J (12)
com.alphaserve.confluence.authplugin,2FA for Confluence (U2F & TOTP),Tempo Software,84,12,4.69,2026-02-27,,0,
org.swift.confluence.visio,Visio for Confluence,Appfire,219,9,3.06,2026-05-12,,4,"SCIM Provisioning, User Sync & Group Syn (10); draw.io Diagrams | UML, BPMN, AWS, ERD,  (1205); GoEdit - Simply edit attachments! (102); Draw Wireframes, Mockup, Prototype & Dia (30)"
de.resolution.apitokenauth.confluence,API Token Authentication for Confluence expand user security,resolution Reichert Network Solutions GmbH,136,3,5.0,2026-08-27,,6,Enhanced API Authentication for Jira wit (15); Open API (Swagger) Integration (31); Visualize OpenAPI (Swagger) documentatio (21); External Data for Jira Fields (Connect R (86)
nl.stefankohler.stash.stash-notification-plugin,Notifyr - Notifications for Bitbucket,ASK Software,140,13,3.75,2026-06-25,,12,Notification Assistant for Jira - Email (57); Inbox for Jira (smart notifications) (21); Advanced Microsoft Teams Connector for J (43); Reminders for Jira (20)
net.veniture.jira.vIssueLayout,IssueLayout - Change the issue design,DC Factory,94,8,4.69,2026-08-12,,0,
com.simplenia.confluence.plugins.spacetree,Spacetree for Confluence,Appfire,96,5,5.0,2026-07-17,,0,
com.keplerrominfo.jira.plugins.blitz-actions,Power Actions - Custom Forms and Wizards,Appfire,94,9,4.58,2026-09-10,,9,Actions for Jira Service Management (36); Power BI Connector for Jira (159); Power BI Connector - Connect Power BI an (59); ActionableAgile® Analytics: Kanban/ Agil (32)
com.alphaserve.authplugin,2FA for Jira (U2F & TOTP),Tempo Software,83,12,4.58,2026-07-07,,0,
com.coresoftlabs.jira.workflow-powerbox,Workflow PowerBox - automation suite,Almarise,94,5,5.0,2026-09-17,,12,SLA PowerBox - On Time Service Delivery (33); Jira Workflow Toolbox (540); Jira Misc Workflow Extensions (JMWE) (534); JSU Automation Suite for Jira Workflows (298)
com.comalatech.remotepublishing,Comala Remote Publishing,Appfire,106,4,5.0,2026-05-12,,7,Comala Publishing (40); Comala Document Management (175); AURA Workflow & Approval for Confluence  (33); Comala Document Control (24)
com.osoboo.jira-metadata-plugin,Metadata for Jira,evolu software GmbH,90,19,4.21,2026-04-09,,4,"Metadata for Confluence (18); Metadata for Confluence Cloud (12); Properties - Templates, Metadata & Datab (17); Documents for Jira (23)"
cr.tin.ActiveUserFilter.active-user-filter,Active User Filter,Modus Create Labs,88,17,4.26,2025-08-18,,8,"Filters Activity Stream (22); Rich Filters for Jira Dashboards (185); Activity Timeline: Resource Capacity Pla (121); Table Filter, Charts & Spreadsheets for  (442)"
info.renjithv.jira.plugins.bulkmove.bulkmove-subtasks-jira-plugin,Sub-tasks Manager for Jira,votazz,126,11,3.86,2026-08-25,,6,"SubSpace Navigation for Confluence (63); Easy Clone: Bulk Clone Issues, Epics & S (36); Octo - Component version, Subcomponents  (16); Issue Matrix for Jira (42)"
net.gisnas.jira.mailqueue,Mail Queue Monitor for Jira,Rocktronic,93,6,4.79,2026-01-20,,3,Queues for Jira & JSM (47); Enterprise Mail Handler for Jira Cloud ( (90); Task Reminder - Slack & Mail Notificatio (14)
ru.teamlead.jira.plugins.subscriptions-for-jira,Subscriptions for Jira (Filters Manager),Teamlead,74,18,4.44,2026-05-07,,3,Easy Calendar Integration for Jira (Sync (17); Feature Bundle – Self-Service Extension  (51); Interlingo - Translator for Confluence (10)
com.threadq.fh.field_hide,Field Hide for Jira,ThreadQ,69,14,4.64,2026-09-10,,10,Fields - Custom Fields for Jira (48); Awesome Custom Fields – Custom Fields fo (27); Jira Misc Custom Fields (JMCF) (92); Message field (12)
ca.nuum.gaia,Gaia for Jira - Project Template Manager,Appfire,77,13,4.52,2026-07-30,,7,Reporting for Confluence (100); Simple Timesheet & Worklog Dashboard Gad (11); Excel-like Bulk Issue Editor for Jira (S (28); Polls for Confluence (35)
de.resolution.user-deactivator.confluence,User Management - License & User Deactivator for Confluence,resolution Reichert Network Solutions GmbH,144,2,5.0,2026-09-09,User Management and License Optimizer for Jira & Confluence,6,User Management for Jira (bulk & timed i (25); Flexible User License - Auto User Manage (22); My User Manager for Jira (11); Flexible User License - Auto User Manage (17)
systems.npe.jira.cfu,Custom Field Toolbox for Jira,Rocktronic,129,5,4.25,2026-05-29,,7,Awesome Custom Fields – Custom Fields fo (27); Jira Workflow Toolbox (540); Jira Misc Custom Fields (JMCF) (92); Fields - Custom Fields for Jira (48)
com.ja.jira.plugin.report.riskmanagement,Risk Management for Jira,jPlugs,146,5,4.0,2025-09-15,,7,"SoftComply Risk Manager for Basic Produc (14); SoftComply Risk Manager Plus for Advance (10); Risk Register, Risk Management for Jira  (17); Risk Register (48)"
net.seibertmedia.plugin.confluence.microblog,Microblogging for Confluence,Seibert,57,23,4.67,2026-09-17,,0,
org.swift.confluence.macrosecurity,Macro Security for Confluence,Appfire,196,1,5.0,2026-05-07,,14,Refined Macro Toolkit (Content Formattin (35); HTML Macro for Confluence (31); Secure Fields - Data Security & Privacy  (30); Security & Encryption for Confluence (47)
com.adaptavist.confluence.themes.sitebuilder,ThemeBuilder for Confluence,Kolekti (part of The Adaptavist Group),76,20,4.31,2026-08-26,,0,
de.scandio.confluence.plugins.lively-theme,Lively Theme - Lightweight Intranet for Confluence,Lively Apps,75,6,5.0,2026-08-28,,5,"Lively Blogs - Dynamic News and Feeds fo (15); Theme Extension for Jira Service Managem (26); MANTRA Intranet | News Events Theme Mobi (100); Refined Sites for JSM (Theme ITSM, HR, H (55)"
com.intenso.jira.plugins.jira-approvals,Approvals – Advanced Issue Acceptance,Deviniti,156,15,3.08,2025-10-16,,7,Workflows for Confluence (Document Manag (25); Approval Path for Jira (26); Approvals for Confluence (Page Review &  (21); Group Sign-Off: parallel Multi-Approvals (41)
net.kentcom.live-input-macros,Live Input Macros,KC Integrations,112,14,3.77,2026-06-12,,12,Refined Macro Toolkit (Content Formattin (35); HTML Macro for Confluence (31); Lively Blogs - Dynamic News and Feeds fo (15); Navitabs - Navigation Macros for Conflue (45)
com.tngtech.confluence.plugin.fonts,Webfonts for Confluence,TNG Technology Consulting GmbH,189,1,5.0,2026-09-10,,0,
net.customware.confluence.plugin.googledrive,Connector for Google Drive & Confluence,Appfire,86,20,4.0,2026-06-22,,15,Google Drive Connector for Jira Automati (14); Google Drive Connector in Confluence (51); Google Drive Connector for Confluence (14); Google Drive & Docs for Confluence (53)
net.savignano.s-notify.jira.gui,S/Notify Email Encryption for Jira,savignano software solutions,71,6,5.0,2025-09-23,,5,Email This Issue (181); Notification Assistant for Jira - Email (57); mailto.wiki - Email for Confluence (11); Simple Reminder – Email Notifications (12)
com.hivestone.confluence.plugins.findreplace,Find and Replace Utility,Hivestone,92,7,4.46,2026-01-01,,1,"Find Duplicates: Detect Similar Issues,  (48)"
pl.com.tt.apdc.vacation-manager,Vacation Manager for Jira,Transition Technologies PSC,96,11,4.09,2026-03-26,,14,Xray - Test Management for Jira (553); Zephyr - Test Management and Automation  (492); Comala Document Management (175); Asset Management for Jira (IT Assets & L (67)
de.syracom.jira.plugins.securelogin,Secure Login (2FA) for Jira,syracom AG,83,12,4.27,2026-09-10,,5,Secure Fields - Data Security & Privacy  (30); Security & Encryption for Confluence (47); Comment Security Default (15); Security for Confluence PII & Secret Sca (15)
biz.everit.jira.license-optimizer,License Optimizer for Jira,EverIT by catworkx,76,5,5.0,2026-02-18,,7,"User/Group Export & License Optimizer fo (18); IT Assets, License - Asset Management fo (71); Asset Management for Jira (IT Assets & L (67); Flexible User License - Auto User Manage (22)"
mraddon.newstatuscolorspro.newstatuscolorspro,New Status Colors PRO for Jira,Sngular,155,4,3.75,2025-10-09,New Status Colors PRO for Jira Cloud,13,Time in Status (208); Status Time Reports Free - Time in Statu (58); Status Time Reports - Time in Status (53); News Teaser for Confluence (13)
net.seibertmedia.confluence.linchpin-essentials,"Linchpin Essentials | Theme, User Profiles, Menu, Intranet",Seibert,101,3,5.0,2026-09-14,,9,GO! JQL: Essential JQL Functions (10); News Teaser for Confluence (13); Projectrak (Project Portfolio Management (128); Viewtracker - Analytics for Confluence (62)
com.shdsd.plugin.attachmentListener,Page and Attachment Security Enhancer for Confluence,DragonSoft,57,8,5.0,2026-03-24,,11,Document Vault - Secure Attachments in J (12); Bulk Attachment Download (12); Copy Page Tree (67); Secure Fields - Data Security & Privacy  (30)
org.swift.jira.acli,Run CLI Actions in Jira,Appfire,123,7,3.75,2026-08-10,,4,Jira Command Line Interface (CLI) (32); Confluence Command Line Interface (CLI) (31); Actions for Jira Service Management (36); ActionableAgile® Analytics: Kanban/ Agil (32)
net.kentcom.confluence-blog-tools,"Blog, Page and Template Tools",KC Integrations,66,7,4.82,2026-01-12,,14,"Page Tree Creator Pro (Blueprint, Templa (22); Scroll Sites for Confluence (Help Center (111); Templating.app🚀Project Templates & Issue (76); Issue Templates Pro - Description Templa (54)"
de.smartics.atlassian.confluence.smartics-projectdoc-confluence,projectdoc Toolbox for Confluence,smartics,54,8,5.0,2026-09-04,,3,Jira Workflow Toolbox (540); HTML Macro for Confluence (31); Project Role Tab for Jira (20)
tableau-plugin,Tableau for Confluence - Pro,Modus  Create,63,10,4.62,2026-09-08,Tableau for Confluence,7,"Tableau Connector for Jira (12); Tableau Connector Pro for Jira (45); Mosaic: Content Formatting Macros, Tabs  (113); Multiple Filters Chart Gadgets (for Dash (33)"
com.devoog.jira.plugin.encrypted,Encryption for Jira,The Adaptavist Group,53,8,5.0,2026-04-20,,4,"Security & Encryption for Confluence (47); Backbone Work Sync for Jira (Two Way Iss (72); Password for Confluence (17); PlantUML Diagrams for Confluence I UML,  (50)"
com.abdhiware.releasedog,Release Manager - Intuitive Release Management for Jira,votazz,92,12,3.85,2026-02-11,,7,"Release Management: Workflows, Calendar  (44); Released Hub – AI Release Notes, Roadmap (39); Swanly: Portfolio Roadmaps Structure Gan (61); (AI powered) Automated Release Notes & R (48)"
pl.craftware.jira.download-attachments-plugin,Download Attachments,Addonrock Sp. z o.o.,136,4,3.75,2025-10-02,,8,Bulk Attachment Download (12); Cenote Lockpoint - Attachment Checkout (29); GoEdit - Simply edit attachments! (102); Smart Attachments for Jira (File & Docum (80)
com.prcpo.confluence.plugins.secure-content-block,Secure Content for Confluence,Appfire,97,9,3.89,2026-04-28,,11,Scroll Content Manager for Confluence (37); Secure Fields - Data Security & Privacy  (30); Security & Encryption for Confluence (47); Custom Content for Jira (22)
es.excentia.jira.plugins.jira-issue-picker-custom-field-type-plugin,Issue Picker Custom Field Type for Jira,excentia,122,7,3.57,2026-09-21,Issue Picker Custom Field for Jira Cloud,8,Issue Picker for Jira (13); Hierarchy for Jira (Custom issue structu (15); Awesome Custom Fields – Custom Fields fo (27); Email This Issue (181)
ch.bitvoodoo.confluence.plugins.homepageredirect,Redirect for Confluence,Elevatic,87,3,5.0,2025-09-02,,4,"Dashboard Hub for Confluence (Reports, D (10); Connector for Salesforce & Jira (236); PlantUML Diagrams for Confluence I UML,  (50); Single Sign On SAML SSO for Jira (SSO SA (82)"
de.edrup.confluence.plugins.simple-checkout,Simple Checkout,Purde Software,86,3,5.0,2026-03-13,,6,Cenote Lockpoint - Attachment Checkout (29); Checkout - Procurement for Jira Service  (12); Simple Tasklists (17); Simple Timesheet & Worklog Dashboard Gad (11)
cloud.bdq.jsdattachmentemailer,Easy Email Attachments for Service Desk,BDQ,72,4,5.0,2026-01-20,,10,"Email This Issue (181); PDF Exporter, Word Exporter, Email & Att (30); Bulk Attachment Download (12); Notification Assistant for Jira - Email (57)"
de.xalt.confluence.plugins.advanced-gallery-macro,Advanced Image Gallery & Slider for Confluence,XALT Business Consulting GmbH,56,7,4.82,2026-07-27,,8,Image Slider for Confluence (30); Scroll ImageMap for Confluence (12); Sketch Image Editor for Confluence (20); Advanced Portal Reports for Jira Service (48)
com.intenso.confluence.plugins.confluence-password-policy,Enterprise Password Policy for Confluence,Deviniti,64,11,4.32,2025-12-29,,10,"Password for Confluence (17); Better Commit Policy for Jira (Git, Bitb (22); BPMN Modeler Enterprise (25); Checklists for Jira (Enterprise) by Hero (143)"
com.wittified.delegated-group-management-in-jira,Delegated Group Management in Jira,Appfire,76,7,4.29,2026-07-29,,12,Delegated Project Creator for Jira (33); Group Sign-Off: parallel Multi-Approvals (41); User/Group Export & License Optimizer fo (18); Xray - Test Management for Jira (553)
com.shdsd.confluence.plugin.weChat-CF,WeCom (WeChat Work) for Confluence,DragonSoft,48,7,5.0,2025-04-24,,4,ActionableAgile® Analytics: Kanban/ Agil (32); Optimizer for Jira (Health Checks & Clea (33); Date Reminder for Confluence (12); Personal Checklist For Jira Cloud (Free) (14)
de.kupper.it.atlassian.confluence.macro.usage,Macro usage,Kupper Software,97,2,5.0,2026-02-02,,11,Refined Macro Toolkit (Content Formattin (35); HTML Macro for Confluence (31); Navitabs - Navigation Macros for Conflue (45); GitHub Macros for Confluence (10)
com.stonikbyte.jira.plugins.project-team-plugin,Project Team for Jira Data Center,StonikByte,49,11,4.66,2025-09-23,Project Team for Jira Cloud,13,"My Calendar - Plan Across Projects & Tea (255); Microsoft Teams for Jira & JSM (30); Advanced Microsoft Teams Connector for J (43); Deep Clone for Jira (Copy Projects, Bulk (134)"
de.syracom.confluence.plugins.securelogin,Secure Login (2FA) for Confluence,syracom AG,72,8,4.22,2026-09-10,,5,Secure Fields - Data Security & Privacy  (30); Security & Encryption for Confluence (47); Comment Security Default (15); Security for Confluence PII & Secret Sca (15)
net.gcore.plugins.fieldtemplates,Field Templates for Jira,Globo Solutions,93,2,5.0,2026-02-10,,16,"Issue Templates Agent (fields, structure (49); Templating.app🚀Project Templates & Issue (76); Issue Templates Pro - Description Templa (54); Fields - Custom Fields for Jira (48)"
org.swift.stash.cli,Bitbucket Command Line Interface (CLI),Appfire,90,3,4.58,2026-08-05,Atlassian Command Line Interface (CLI),2,Revyz Command Center for Jira (Backup Co (19); Gantt Chart Planner for Confluence (Road (15)
jira-ukrainian-language-pack.biz.softlist.jira.lp,Ukrainian Language Pack for Jira,Softlist Sp. z o.o.,72,3,5.0,2026-02-04,,5,Service Pack for Agents (28); Lango AI Translator: Language & translat (33); Chinese (China) Language Patch for Jira (11); Translations for Confluence (35)
com.acidoranges.jira.dndpf.dndpostfunction,DnD Workflow Tools,Sevidev,52,5,5.0,2026-05-12,,10,Jira Workflow Toolbox (540); Jira Misc Workflow Extensions (JMWE) (534); JSU Automation Suite for Jira Workflows (298); Workflow Enhancer for Jira (43)
com.miniorange.sso.saml.bamboo-sso,"Single Sign On SAML SSO for Bamboo (SSO SAML), SSO login",miniOrange,40,8,5.0,2026-08-11,Single Sign On SAML SSO for Jira (SSO SAML) + User Sync/SCIM,3,eSign Signatures for Jira (10); Approvals for Confluence (Page Review &  (21); Group Sign-Off: parallel Multi-Approvals (41)
avono-read-confirmation-plugin,avono Read Confirmations for Confluence,avono AG,81,7,3.93,2025-08-29,,3,QC Read and Understood for Confluence (15); Advanced Panelboxes for Confluence (12); Xray Enterprise - Test Management for Ji (13)
de.actonic.confluence.fus,Fast User Switcher (FUS) for Confluence,Actonic Labs,45,6,5.0,2026-02-17,,9,My ToDo Checklist - Fast Inline ToDo Lis (47); User Management for Jira (bulk & timed i (25); Flexible User License - Auto User Manage (22); Flexible User License - Auto User Manage (17)
